student,assessment,score
S1,pre,0.7778
S2,pre,0.6426
S3,pre,0.6074
S4,pre,0.7519
S5,pre,0.6944
S6,pre,0.475
S7,pre,0.8991
S8,pre,0.6981
S9,pre,0.6417
S10,pre,0.4741
S11,pre,0.8009
S12,pre,0.4667
S13,pre,0.6454
S1,post,0.8796
S2,post,0.6759
S3,post,0.963
S4,post,0.8889
S5,post,0.7796
S6,post,0.4741
S7,post,0.9222
S8,post,0.8454
S9,post,0.9676
S10,post,0.6204
S11,post,0.8333
S12,post,0.5852
S13,post,0.6537
