student,Q19,Q20,Q21,Q22,Q23,Q24
S1,3,1,1,3,4,4
S2,4,2,2,4,5,4
S3,5,3,4,5,5,5
S4,3,3,2,4,3,2
S5,4,1,1,3,5,4
S6,3,3,2,2,4,4
S7,5,5,4,4,5,3
S8,3,2,2,4,4,3
S9,4,2,2,5,5,3
S10,4,3,2,4,4,3
S11,3,3,2,4,4,3
S12,3,1,1,4,4,1
S13,4,3,3,5,5,4
