student,prescore,postscore,delta
S1,0.7778,0.8796,0.1018
S2,0.6426,0.6759,0.0333
S3,0.6074,0.963,0.3556
S4,0.7519,0.8889,0.137
S5,0.6944,0.7796,0.0852
S6,0.475,0.4741,-0.0009
S7,0.8991,0.9222,0.0231
S8,0.6981,0.8454,0.1472
S9,0.6417,0.9676,0.3259
S10,0.4741,0.6204,0.1463
S11,0.8009,0.8333,0.0324
S12,0.4667,0.5852,0.1185
S13,0.6454,0.6537,0.0083
