student,Q19,Q20,Q21,Q22,Q23,Q24
S1,4,3,2,3,4,4
S2,3,4,1,5,5,5
S3,5,4,5,5,5,5
S4,3,3,2,4,3,3
S5,4,3,3,3,4,3
S6,3,3,3,3,3,3
S7,5,5,4,5,5,3
S8,3,2,3,3,3,2
S9,3,2,1,4,4,3
S10,4,3,3,3,2,2
S11,3,3,2,3,4,3
S12,3,2,1,4,4,2
S13,5,4,3,5,5,3
